Rk,Gcar,Gtm,Date,Tm,,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,RE24,DFS(DK),DFS(FD),Entered,Exited
1,333,2,Apr 7,LAD,,SDP,L3-7,GS-6,,99,6.0,2,1,1,1,4,0,0,1.50,22,94,61,10,14,8,9,4,1,0,67,,,1,0,0,21,0,1,0,0,0,1,.71,0.168,1.68,17.10,9.00,1t start tie,6t 3 out  d1
2,334,6,Apr 12,LAD,@,ARI,W7-4,GS-7,W(1-0),4,7.0,5,0,0,0,7,0,0,0.69,26,102,67,22,8,10,9,8,0,0,74,,,0,1,0,25,0,0,0,1,0,2,.94,0.320,3.36,27.75,15.00,1b start tie,7b 3 out  a5
3,335,11,Apr 18,LAD,,COL,W6-3,GS-7,W(2-0),5,6.2,5,3,3,1,3,1,1,1.83,26,103,63,18,5,11,10,5,1,0,54,,,0,0,0,24,2,0,0,1,0,0,1.02,0.072,0.03,12.40,7.67,1t start tie,7t --- 2 out  a1
4,336,16,Apr 24,LAD,@,SDP,W3-0,GS-7,W(3-0),5,7.0,4,0,0,3,7,0,0,1.35,27,106,68,17,14,11,6,2,1,0,73,,,0,0,0,24,0,0,0,1,0,0,1.39,0.442,3.03,28.95,15.00,1b start tie,7b 3 out  a2
5,337,21,Apr 29,LAD,,SFG,W7-3,GS-6,W(4-0),4,6.0,7,3,3,2,6,1,0,1.93,27,110,66,18,9,7,12,7,1,0,50,,,0,0,0,25,3,0,0,0,0,0,.76,0.013,-0.32,15.10,10.00,1t start tie,6t 3 out  a4
6,338,26,May 5,LAD,@,MIL,W8-2,GS-8,W(5-0),5,7.2,2,1,0,2,7,0,0,1.56,27,103,64,18,11,5,13,7,5,0,78,,,0,0,0,25,0,0,0,1,0,1,.67,0.195,2.54,32.85,15.67,1b start tie,8b 1-- 2 out  a6
7,339,31,May 11,LAD,,MIA,W5-3,GS-7,,5,7.0,6,1,1,2,5,1,0,1.52,26,91,60,15,14,9,10,8,0,0,64,,,0,1,0,24,0,0,0,1,0,0,1.28,0.221,2.12,16.55,11.00,1t start tie,7t 3 out tie
8,340,36,May 16,LAD,,COL,L1-7,GS-6,L(5-1),4,6.0,4,1,1,0,5,1,1,1.52,23,100,62,13,13,5,12,6,2,0,65,,,0,0,0,22,0,0,0,0,0,0,.71,0.168,1.68,16.10,10.00,1t start tie,6t 3 out  d1
9,341,41,May 22,LAD,,SDP,W2-1,GS-8,,5,7.2,6,1,1,1,5,0,0,1.48,30,105,69,14,8,11,13,5,3,0,67,,,0,0,0,29,2,0,0,0,0,0,1.18,0.231,2.16,18.05,11.67,1t start tie,8t 12- 2 out tie
10,342,46,May 27,LAD,,ATL,L2-3,GS-6,,4,6.0,3,1,1,2,9,1,0,1.48,22,97,61,22,11,7,4,1,1,0,69,,,0,0,0,20,0,0,0,1,0,0,1.13,0.198,1.68,25.90,14.00,1t start tie,6t 3 out tie
11,343,52,Jun 2(2),LAD,@,COL,W9-8,GS-6,,5,6.0,10,5,5,1,2,0,0,1.97,27,81,51,8,5,14,10,6,1,0,33,,,0,0,0,24,1,0,0,2,1,0,1.39,-0.238,-1.67,-4.50,3.00,1b start a 1,6b 3 out  d1
12,344,57,Jun 7,LAD,,STL,L2-4,GS-7,,4,6.2,6,1,1,1,8,1,0,1.92,27,99,64,14,16,9,9,4,2,0,65,,,0,0,0,25,2,0,0,0,0,0,1.14,0.260,1.92,21.80,13.67,1t start tie,7t 1-- 2 out  a1
13,345,62,Jun 13,LAD,@,SDP,L1-2,CG(8),L(5-2),5,8.0,8,2,2,1,7,1,0,1.95,31,100,70,22,17,14,9,4,1,0,64,,,1,0,0,30,1,0,0,1,0,0,1.31,0.037,1.46,20.90,13.00,1b start tie,8b 3 out  d1
14,346,67,Jun 18,LAD,,TEX,W1-0,GS-7,,4,7.0,4,0,0,0,8,0,1,1.81,25,89,57,16,13,11,5,3,2,0,77,,,0,0,0,24,0,0,0,0,0,0,1.19,0.422,3.12,26.35,15.00,1t start tie,7t 3 out tie
15,347,72,Jun 23,LAD,@,CHC,L0-1,GS-6,,4,6.0,3,0,0,2,5,0,0,1.70,23,111,66,16,7,3,13,6,3,0,69,,,2,0,0,21,1,0,0,0,0,0,1.24,0.343,2.77,19.90,11.00,1b start tie,6b 3 out tie
16,348,77,Jun 28,LAD,@,MIA,W2-0,GS-8,W(6-2),4,7.2,4,0,0,1,6,0,0,1.58,27,101,65,21,11,11,9,6,0,0,76,,,0,1,0,26,1,0,0,0,0,0,1.04,0.505,3.56,28.45,14.67,1b start tie,8b --- 2 out  a2
17,349,82,Jul 4,LAD,,NYM,W4-3,GS-7,W(7-2),5,7.0,4,0,0,0,4,0,0,1.48,25,100,63,10,9,7,14,6,1,0,73,,,1,1,0,25,1,0,0,0,0,0,1.04,0.359,3.12,22.95,12.00,1t start tie,7t 3 out  a3
18,350,87,Jul 9,LAD,,PHI,W6-0,GS-8,W(8-2),4,8.0,1,0,0,0,8,0,0,1.39,25,94,63,17,17,12,5,1,2,0,88,,,0,0,0,25,0,0,0,0,0,0,.70,0.365,3.57,36.80,17.00,1t start tie,8t 3 out  a4
19,351,93,Jul 19,LAD,@,WSN,W5-0,GS-8,W(9-2),9,8.0,3,0,0,1,11,0,0,1.30,27,119,76,18,19,8,7,4,3,0,86,,,0,0,1,26,0,0,0,0,0,0,1.17,0.623,3.87,40.40,20.00,1b start tie,8b 3 out  a1
20,352,100,Jul 26,LAD,@,NYM,L2-3,GS-7,,6,7.0,4,2,2,3,3,0,2,1.37,29,103,62,14,8,11,10,5,1,0,61,,,1,0,0,23,0,0,1,1,0,0,1.02,0.033,1.09,11.75,8.00,1b start tie,7b 3 out  d2
21,353,103,Jul 31,LAD,,LAA,W5-3,GS-8,W(10-2),4,8.0,5,2,2,1,8,0,0,1.41,29,108,68,18,10,10,10,6,1,0,71,,,0,0,0,28,0,1,0,1,0,0,.87,0.198,1.57,28.00,15.00,1t start tie,8t 3 out  a3
22,354,108,Aug 6,LAD,@,PHI,W10-8,GS-6,W(11-2),5,6.0,6,6,5,2,8,1,0,1.65,27,111,69,19,16,8,9,7,0,0,44,,,0,0,0,25,1,0,0,0,0,1,1.11,-0.293,-3.21,16.30,10.00,1b start a 3,6b 3 out  a4
23,355,113,Aug 11,LAD,,WSN,W5-0,GS-6,W(12-2),4,6.0,6,0,0,1,6,0,0,1.59,25,109,71,16,11,7,11,7,1,0,65,,,0,0,0,24,0,0,0,0,0,0,1.01,0.277,2.68,22.30,13.00,1t start tie,6t 3 out  a5
24,356,118,Aug 16,LAD,,CIN,W2-1,GS-7,W(13-2),4,7.0,6,1,1,1,8,0,0,1.58,27,107,68,12,23,6,12,9,1,0,68,,,0,0,0,25,3,0,0,1,1,0,1.41,0.269,2.12,26.55,15.00,1t start tie,7t 3 out  a1
25,357,122,Aug 22,LAD,@,HOU,L1-3,GS-7,L(13-3),5,7.0,3,3,3,0,5,2,0,1.67,24,93,61,16,14,8,11,4,0,0,64,,,0,1,0,24,0,1,0,0,0,1,.55,-0.077,0.41,16.15,9.00,1b start tie,7b 3 out  d2
26,358,126,Aug 27,LAD,@,CIN,W1-0,GS-7,W(14-3),4,7.0,4,0,0,2,9,0,0,1.61,27,109,67,19,14,6,10,6,1,0,76,,,1,0,0,25,0,0,0,0,0,0,1.44,0.485,3.26,32.95,17.00,1b start tie,7b 3 out  a1
27,359,131,Sep 1,LAD,,SFG,W2-1,GS-8,W(15-3),4,7.1,5,1,1,1,5,0,0,1.59,29,114,76,15,13,8,15,7,2,0,68,,,0,0,0,28,0,0,0,0,0,1,1.46,0.231,1.72,22.50,12.33,1t start tie,8t 12- 1 out  a1
28,360,137,Sep 7,LAD,@,LAA,W7-5,GS-6,W(16-3),5,6.0,7,3,3,0,5,2,0,1.68,25,89,59,17,10,9,11,8,1,0,51,,,0,0,0,25,1,0,0,0,0,0,.94,-0.059,-0.26,13.10,9.00,1b start tie,6b 3 out  a1
29,361,142,Sep 13,LAD,@,ARI,W4-3,GS-8,W(17-3),5,8.0,3,0,0,2,8,0,0,1.61,27,93,59,15,15,14,3,3,0,0,82,,,0,0,0,25,1,0,0,2,0,0,1.14,0.434,3.84,34.40,17.00,1b start a 1,8b 3 out  a4
30,362,146,Sep 18,LAD,,PIT,W6-2,GS-8,W(18-3),4,7.0,4,2,2,2,3,1,0,1.65,27,97,66,17,9,12,10,2,2,0,62,,,0,0,0,25,1,0,0,0,0,0,.68,0.184,1.16,16.95,9.00,1t start tie,8t 12- 0 out  a5
31,363,156,Sep 28,LAD,@,SFG,L2-3,GS-7,,9,7.0,4,2,2,3,7,0,0,1.68,25,93,59,15,11,8,7,5,0,0,65,,,0,1,1,22,1,0,0,1,0,0,.79,0.077,1.15,20.95,12.00,1b start tie,7b 3 out  d1
32,364,161,Oct 3,LAD,,SDP,W2-1,GS-8,W(19-3),4,8.0,4,1,1,1,8,1,0,1.66,29,108,77,19,15,14,6,0,2,0,77,,,0,0,0,26,0,0,0,0,0,0,1.28,0.440,2.57,31.20,16.00,1t start tie,8t 3 out  a1
