name,player_id,pitch_type,pitch_result,atbat_result,start_speed,z0,x0,pfx_x,pfx_z,px,pz,break_angle,break_length,spin_rate,spin_dir,zone,balls,strikes,outs,play,game_date,inning,inning_topbot,tfs,tfs_zulu,catcher,umpire,umpire_name,stolen_base_attempt,stolen_base_success,batted_ball_type,,angle,batted_ball_velocity,direction,hc_x,hc_y,pitch_id,distance_feet
"Jake Arrieta                  ",453562,SL,"In play, out(s)","Pop Out","90.2      ",6.294,-2.992,"5.78                ","0.77                ",0.238,"2.296               ","-19.8     ","7.5       ","1150.921  ","97.998    ","6 ",2,0,2,"Adam Lind pops out to third baseman Javier Baez in foul territory.  ",2015-10-02,6,bot,021030,2015-10-03T02:10:30Z,471083,427019,"Ted Barrett",0,0,PU,,,,,77.2500,170.2400,404,
"Jake Arrieta                  ",453562,CU,"In play, out(s)",Groundout,"82.5      ",6.406,-2.972,"5.86                ","-9.36               ",0.719,"1.339               ","-11.9     ","13.2      ","1919.844  ","32.187    ",14,1,2,2,"Khris Davis grounds out, second baseman Starlin Castro to first baseman Anthony Rizzo.  ",2015-10-02,1,bot,002815,2015-10-03T00:28:15Z,471083,427019,"Ted Barrett",0,0,GB,,0.0,67.0,,143.8200,160.0800,58,0.0
"Jake Arrieta                  ",453562,SL,"Swinging Strike",Strikeout,"89.2      ",6.312,-2.893,"5.14                ","-0.68               ",1.358,"2.334               ","-17.2     ","8.3       ","997.789   ","82.937    ",14,2,2,0,"Luis Sardinas strikes out swinging.  ",2015-10-02,6,bot,020654,2015-10-03T02:06:54Z,471083,427019,"Ted Barrett",0,0,,,,,,0.0000,0.0000,387,
"Jake Arrieta                  ",453562,SI,Ball,Strikeout,"94.2      ",6.205,-2.676,"-8.3                ","9.44                ",0.768,"1.568               ","39.8      ","4.4       ","2550.556  ","221.211   ",14,1,2,0,"Luis Sardinas strikes out swinging.  ",2015-10-02,6,bot,020636,2015-10-03T02:06:36Z,471083,427019,"Ted Barrett",0,0,,,,,,0.0000,0.0000,386,
"Jake Arrieta                  ",453562,SI,Ball,Strikeout,"94.4      ",6.263,-3.17,"-10.16              ","5.51                ",-1.52,"3.171               ","38.3      ","6.0       ","2342.263  ","241.350   ",11,0,0,0,"Logan Schafer strikes out swinging.  Scooter Gennett steals (1) 2nd base.  ",2015-10-02,1,bot,002053,2015-10-03T00:20:53Z,471083,427019,"Ted Barrett",0,0,,,,,,0.0000,0.0000,36,
"Jake Arrieta                  ",453562,SL,"Swinging Strike",Strikeout,"89.9      ",6.162,-3.127,"4.16                ","-0.51               ",1.27,"1.966               ","-15.0     ","8.1       ","812.401   ","83.605    ",14,3,2,0,"Logan Schafer strikes out swinging.  Scooter Gennett steals (1) 2nd base.  ",2015-10-02,1,bot,002424,2015-10-03T00:24:24Z,471083,427019,"Ted Barrett",1,1,,,,,,0.0000,0.0000,43,
"Jake Arrieta                  ",453562,SI,"Called Strike",Strikeout,"94.4      ",6.392,-2.486,"-8.25               ","7.48                ",0.327,"2.512               ","36.1      ","4.9       ","2279.487  ","227.651   ","6 ",0,0,1,"Jean Segura strikes out swinging.  ",2015-10-02,2,bot,003702,2015-10-03T00:37:02Z,471083,427019,"Ted Barrett",0,0,,,,,,0.0000,0.0000,88,
"Jake Arrieta                  ",453562,CU,"Swinging Strike (Blocked)",Strikeout,"82.1      ",6.351,-2.881,"4.93                ","-10.11              ",0.863,"-0.274              ","-9.8      ","13.7      ","1934.557  ","26.125    ",14,0,2,1,"Jean Segura strikes out swinging.  ",2015-10-02,2,bot,003732,2015-10-03T00:37:32Z,471083,427019,"Ted Barrett",0,0,,,,,,0.0000,0.0000,90,
"Jake Arrieta                  ",453562,SL,"In play, out(s)",Groundout,"91.3      ",6.253,-3.265,"4.26                ","2.37                ",-0.568,"2.716               ","-17.1     ","6.6       ","973.265   ","119.440   ","4 ",3,2,2,"Hernan Perez grounds out, first baseman Anthony Rizzo to pitcher Jake Arrieta.  ",2015-10-02,2,bot,003947,2015-10-03T00:39:47Z,471083,427019,"Ted Barrett",0,0,GB,,0.0,91.0,,145.8500,170.7500,99,0.0
"Jake Arrieta                  ",453562,SI,"In play, out(s)",Groundout,"94.7      ",6.333,-2.725,"-8.27               ","6.74                ",0.104,"2.847               ","33.5      ","5.2       ","2162.260  ","230.665   ","5 ",0,0,1,"Ariel Pena grounds out, first baseman Anthony Rizzo to pitcher Jake Arrieta.  ",2015-10-02,3,bot,010114,2015-10-03T01:01:14Z,471083,427019,"Ted Barrett",0,0,GB,,0.0,78.0,,149.9200,165.6700,164,0.0
