name,player_id,pitch_type,pitch_result,atbat_result,start_speed,z0,x0,pfx_x,pfx_z,px,pz,break_angle,break_length,spin_rate,spin_dir,zone,balls,strikes,outs,play,game_date,inning,inning_topbot,tfs,tfs_zulu,catcher,umpire,umpire_name,stolen_base_attempt,stolen_base_success,batted_ball_type,,angle,batted_ball_velocity,direction,hc_x,hc_y,pitch_id,distance_feet
"Zack Greinke                  ",425844,SL,Foul,Strikeout,"86.5      ",6.153,-1.213,"1.817               ","1.742               ",-0.053,"1.887               ","-6.4      ","7.5       ","478.065   ","134.526   ","8 ",0,0,1,"Jedd Gyorko strikes out swinging.  ",2015-10-03,6,top,022632,2015-10-04T02:26:32Z,518735,483561,"Lance Barrett",0,0,,,,,,0.0000,0.0000,274,
"Zack Greinke                  ",425844,FF,Foul,Flyout,"93.6      ",5.954,-1.211,"-2.803              ","9.477               ",-0.607,"2.406               ","17.5      ","3.4       ","2012.489  ","196.412   ","4 ",0,0,2,"Yangervis Solarte flies out to center fielder Enrique Hernandez.  ",2015-10-03,1,top,011404,2015-10-04T01:14:04Z,518735,483561,"Lance Barrett",0,0,,,,,,137.4900,73.5700,18,
"Zack Greinke                  ",425844,FF,Foul,Strikeout,"92.4      ",6.115,-0.661,"-1.426              ","9.408               ",0.891,"2.485               ","6.5       ","3.4       ","1918.983  ","188.580   ",14,0,0,0,"Melvin Upton Jr.   strikes out swinging.  ",2015-10-03,4,top,014938,2015-10-04T01:49:38Z,518735,483561,"Lance Barrett",0,0,,,,,,0.0000,0.0000,140,
"Zack Greinke                  ",425844,SL,Ball,Strikeout,"85.3      ",6.119,-1.039,"3.995               ","-1.801              ",0.652,"1.356               ","-10.7     ","9.4       ","799.902   ","66.296    ",14,0,1,0,"Melvin Upton Jr.   strikes out swinging.  ",2015-10-03,6,top,022342,2015-10-04T02:23:42Z,518735,483561,"Lance Barrett",0,0,,,,,,0.0000,0.0000,262,
"Zack Greinke                  ",425844,SL,"Ball In Dirt",Strikeout,"88.4      ",5.756,-0.843,"3.130               ","0.573               ",1.866,"-0.733              ","-10.7     ","8.0       ","606.523   ","101.158   ",14,0,2,1,"Jedd Gyorko strikes out swinging.  ",2015-10-03,6,top,022849,2015-10-04T02:28:49Z,518735,483561,"Lance Barrett",0,0,,,,,,0.0000,0.0000,278,
"Zack Greinke                  ",425844,FF,Ball,Strikeout,"91.0      ",6.130,-1.340,"-2.436              ","7.716               ",-1.453,"4.102               ","13.1      ","4.2       ","1603.173  ","197.434   ",11,0,1,2,"Travis Jankowski called out on strikes.  ",2015-10-03,7,top,024307,2015-10-04T02:43:07Z,518735,483561,"Lance Barrett",0,0,,,,,,0.0000,0.0000,325,
"Zack Greinke                  ",425844,FT,"In play, out(s)",Groundout,"90.3      ",5.938,-1.410,"-9.376              ","3.354               ",-0.724,"1.943               ","30.1      ","7.1       ","1948.436  ","250.091   ",13,1,1,2,"Cory Spangenberg grounds out softly to first baseman Adrian Gonzalez.  ",2015-10-03,3,top,014153,2015-10-04T01:41:53Z,518735,483561,"Lance Barrett",0,0,GB,,,,,150.2100,177.6900,115,
"Zack Greinke                  ",425844,CH,Ball,"Sac Bunt","88.7      ",5.972,-1.365,"-7.838              ","4.660               ",-1.736,"1.996               ","27.6      ","6.7       ","1753.803  ","239.034   ",13,0,1,0,"Travis Jankowski out on a sacrifice bunt, third baseman Justin Turner to first baseman Adrian Gonzalez.   Austin Hedges to 2nd.  ",2015-10-03,3,top,013829,2015-10-04T01:38:29Z,518735,483561,"Lance Barrett",0,0,,,,,,122.3500,195.1500,101,
"Zack Greinke                  ",425844,FT,Ball,Walk,"90.3      ",5.830,-1.097,"-6.930              ","4.028               ",-0.578,"0.450               ","23.6      ","6.6       ","1570.128  ","239.572   ",13,1,2,2,"Jedd Gyorko walks.  ",2015-10-03,4,top,015411,2015-10-04T01:54:11Z,518735,483561,"Lance Barrett",0,0,,,,,,0.0000,0.0000,158,
"Zack Greinke                  ",425844,FF,Ball,Walk,"94.2      ",5.997,-0.675,"-4.457              ","9.760               ",1.714,"1.925               ","24.8      ","3.5       ","2188.802  ","204.457   ",14,2,2,2,"Jedd Gyorko walks.  ",2015-10-03,4,top,015500,2015-10-04T01:55:00Z,518735,483561,"Lance Barrett",0,0,,,,,,0.0000,0.0000,160,
"Zack Greinke                  ",425844,FF,Foul,Strikeout,"93.4      ",6.088,-0.854,"-2.033              ","9.740               ",0.575,"2.234               ","10.3      ","3.4       ","1996.749  ","191.744   ","9 ",1,1,0,"Melvin Upton Jr.   strikes out swinging.  ",2015-10-03,6,top,022406,2015-10-04T02:24:06Z,518735,483561,"Lance Barrett",0,0,,,,,,0.0000,0.0000,263,
"Zack Greinke                  ",425844,FF,Ball,Strikeout,"94.4      ",6.080,-0.814,"-2.564              ","9.111               ",1.739,"2.273               ","12.4      ","3.4       ","1948.588  ","195.656   ",14,1,2,1,"Melvin Upton Jr.   strikes out swinging.  ",2015-10-03,1,top,011244,2015-10-04T01:12:44Z,518735,483561,"Lance Barrett",0,0,,,,,,0.0000,0.0000,12,
"Zack Greinke                  ",425844,SL,Ball,Strikeout,"85.7      ",6.288,-0.860,"3.506               ","1.069               ",1.300,"2.806               ","-11.6     ","8.0       ","681.951   ","107.640   ",12,0,1,0,"Derek Norris strikes out swinging.  ",2015-10-03,8,top,025731,2015-10-04T02:57:31Z,518735,483561,"Lance Barrett",0,0,,,,,,0.0000,0.0000,372,
"Zack Greinke                  ",425844,FF,Foul,Strikeout,"91.6      ",6.212,-0.752,"-2.262              ","10.284              ",0.159,"2.506               ","13.9      ","3.3       ","2108.661  ","192.354   ","5 ",1,1,0,"Derek Norris strikes out swinging.  ",2015-10-03,8,top,025747,2015-10-04T02:57:47Z,518735,483561,"Lance Barrett",0,0,,,,,,0.0000,0.0000,373,
"Zack Greinke                  ",425844,FT,Ball,Strikeout,"90.2      ",6.063,-1.537,"-5.449              ","3.447               ",-1.357,"2.255               ","19.2      ","6.4       ","1273.781  ","237.376   ",13,0,1,2,"Brett Wallace strikes out swinging.  ",2015-10-03,6,top,023039,2015-10-04T02:30:39Z,518735,483561,"Lance Barrett",0,0,,,,,,0.0000,0.0000,284,
"Zack Greinke                  ",425844,FF,"Called Strike",Strikeout,"93.0      ",6.018,-1.287,"-2.400              ","10.315              ",-1.056,"2.242               ","16.8      ","3.2       ","2143.747  ","193.048   ",13,1,1,2,"Brett Wallace strikes out swinging.  ",2015-10-03,6,top,023123,2015-10-04T02:31:23Z,518735,483561,"Lance Barrett",0,0,,,,,,0.0000,0.0000,285,
"Zack Greinke                  ",425844,FT,"Swinging Strike",Strikeout,"90.7      ",5.922,-1.551,"-6.389              ","1.917               ",-1.530,"1.432               ","20.2      ","7.2       ","1306.735  ","252.956   ",13,1,2,2,"Brett Wallace strikes out swinging.  ",2015-10-03,6,top,023153,2015-10-04T02:31:53Z,518735,483561,"Lance Barrett",0,0,,,,,,0.0000,0.0000,286,
"Zack Greinke                  ",425844,SL,"Swinging Strike",Strikeout,"84.6      ",6.119,-1.140,"2.124               ","-1.113              ",0.413,"1.212               ","-6.3      ","9.0       ","437.609   ","63.359    ",14,0,0,0,"Melvin Upton Jr.   strikes out swinging.  ",2015-10-03,6,top,022318,2015-10-04T02:23:18Z,518735,483561,"Lance Barrett",0,0,,,,,,0.0000,0.0000,261,
"Zack Greinke                  ",425844,FF,"Swinging Strike",Strikeout,"92.9      ",6.251,-0.760,"-3.993              ","10.240              ",0.668,"3.311               ","23.6      ","3.4       ","2188.412  ","201.224   ",12,0,1,2,"Robbie Erlin called out on strikes.  ",2015-10-03,5,top,021325,2015-10-04T02:13:25Z,518735,483561,"Lance Barrett",0,0,,,,,,0.0000,0.0000,230,
"Zack Greinke                  ",425844,FF,"Called Strike",Strikeout,"91.7      ",6.108,-0.952,"-3.337              ","9.664               ",0.349,"2.724               ","17.9      ","3.7       ","2020.423  ","198.974   ","3 ",0,0,2,"Robbie Erlin called out on strikes.  ",2015-10-03,5,top,021312,2015-10-04T02:13:12Z,518735,483561,"Lance Barrett",0,0,,,,,,0.0000,0.0000,229,
"Zack Greinke                  ",425844,FT,Ball,Walk,"93.7      ",5.757,-1.093,"-11.461             ","3.796               ",0.367,"1.085               ","37.0      ","7.1       ","2429.080  ","251.501   ",14,3,2,2,"Jedd Gyorko walks.  ",2015-10-03,4,top,015551,2015-10-04T01:55:51Z,518735,483561,"Lance Barrett",0,0,,,,,,0.0000,0.0000,162,
