name,player_id,pitch_type,pitch_result,atbat_result,start_speed,z0,x0,pfx_x,pfx_z,px,pz,break_angle,break_length,spin_rate,spin_dir,zone,balls,strikes,outs,play,game_date,inning,inning_topbot,tfs,tfs_zulu,catcher,umpire,umpire_name,stolen_base_attempt,stolen_base_success,batted_ball_type,,angle,batted_ball_velocity,direction,hc_x,hc_y,pitch_id,distance_feet
"Clayton Kershaw               ",477132,FF,"In play, no out",Single,"93.6      ",6.067,1.367,"0.134               ","12.759              ",0.099,"2.340               ","3.0       ","2.1       ","2569.657  ","179.402   ","5 ",3,1,2,"Jedd Gyorko singles on a line drive to left fielder Scott Schebler.  ",2015-10-04,4,top,200714,2015-10-04T20:07:14Z,454560,427248,"Dan Iassogna",0,0,LD,,0.0,107.0,,93.2500,114.0200,210,0.0
"Clayton Kershaw               ",477132,CU,Ball,"Pop Out","74.1      ",6.566,0.754,"-4.252              ","-9.726              ",-0.899,"1.225               ","7.0       ","15.1      ","1664.644  ","336.250   ",13,0,1,1,"Rocky Gale pops out to third baseman Alex Guerrero in foul territory.  ",2015-10-04,3,top,194703,2015-10-04T19:47:03Z,454560,427248,"Dan Iassogna",0,0,,,0.0,47.0,,83.5900,187.7700,139,0.0
"Clayton Kershaw               ",477132,FF,Ball,Groundout,"92.9      ",6.140,1.201,"1.002               ","10.415              ",-1.324,"2.623               ","-1.6      ","3.1       ","2098.924  ","174.523   ",11,2,2,0,"Derek Norris grounds out, second baseman Chase Utley to first baseman Yasmani Grandal.  ",2015-10-04,4,top,200656,2015-10-04T20:06:56Z,454560,427248,"Dan Iassogna",0,0,,,0.0,97.0,,141.9000,158.6200,188,0.0
"Clayton Kershaw               ",477132,CU,Foul,Groundout,"73.4      ",6.652,1.002,"-1.726              ","-11.399             ",-0.843,"2.424               ","3.2       ","15.8      ","1794.278  ","351.345   ",11,2,2,0,"Derek Norris grounds out, second baseman Chase Utley to first baseman Yasmani Grandal.  ",2015-10-04,4,top,200655,2015-10-04T20:06:55Z,454560,427248,"Dan Iassogna",0,0,,,0.0,97.0,,141.9000,158.6200,187,0.0
"Clayton Kershaw               ",477132,FF,"Swinging Strike","Pop Out","93.0      ",6.045,1.091,"1.068               ","9.146               ",-1.376,"1.250               ","-1.7      ","3.8       ","1841.466  ","173.371   ",13,0,0,1,"Rocky Gale pops out to third baseman Alex Guerrero in foul territory.  ",2015-10-04,3,top,194641,2015-10-04T19:46:41Z,454560,427248,"Dan Iassogna",0,0,,,0.0,47.0,,83.5900,187.7700,138,0.0
"Clayton Kershaw               ",477132,FF,Foul,Groundout,"94.2      ",6.048,1.168,"1.728               ","8.751               ",-0.478,"2.137               ","-8.2      ","3.5       ","1835.424  ","168.882   ","4 ",1,2,2,"Alexi Amarista grounds out softly, pitcher Clayton Kershaw to first baseman Adrian Gonzalez.  ",2015-10-04,2,top,193307,2015-10-04T19:33:07Z,454560,427248,"Dan Iassogna",0,0,,,,,,133.8600,180.5000,86,
"Clayton Kershaw               ",477132,FF,"In play, out(s)","Pop Out","93.8      ",6.209,1.235,"1.890               ","10.459              ",-1.317,"3.428               ","-8.3      ","2.9       ","2148.152  ","169.795   ",11,1,1,1,"Rocky Gale pops out to third baseman Alex Guerrero in foul territory.  ",2015-10-04,3,top,194719,2015-10-04T19:47:19Z,454560,427248,"Dan Iassogna",0,0,PU,,0.0,47.0,,83.5900,187.7700,140,0.0
"Clayton Kershaw               ",477132,FF,"In play, out(s)",Groundout,"93.0      ",6.012,1.374,"0.304               ","12.100              ",-0.092,"1.820               ","1.2       ","2.4       ","2440.968  ","178.570   ","8 ",3,2,0,"Derek Norris grounds out, second baseman Chase Utley to first baseman Yasmani Grandal.  ",2015-10-04,4,top,200657,2015-10-04T20:06:57Z,454560,427248,"Dan Iassogna",0,0,GB,,0.0,97.0,,141.9000,158.6200,189,0.0
"Clayton Kershaw               ",477132,FF,Ball,Single,"94.1      ",6.016,1.171,"0.366               ","10.680              ",-1.897,"1.712               ","4.4       ","2.9       ","2171.300  ","178.044   ",13,1,1,2,"Jedd Gyorko singles on a line drive to left fielder Scott Schebler.  ",2015-10-04,4,top,200712,2015-10-04T20:07:12Z,454560,427248,"Dan Iassogna",0,0,,,0.0,107.0,,93.2500,114.0200,208,0.0
"Clayton Kershaw               ",477132,FF,Ball,Groundout,"93.0      ",6.049,1.228,"0.763               ","11.563              ",0.923,"2.618               ","-5.6      ","2.6       ","2319.141  ","176.238   ",12,0,2,2,"Alexi Amarista grounds out softly, pitcher Clayton Kershaw to first baseman Adrian Gonzalez.  ",2015-10-04,2,top,193253,2015-10-04T19:32:53Z,454560,427248,"Dan Iassogna",0,0,,,,,,133.8600,180.5000,85,
"Clayton Kershaw               ",477132,FF,"Called Strike",Groundout,"94.6      ",6.018,1.078,"-2.391              ","9.018               ",-0.882,"2.299               ","19.0      ","3.6       ","1902.480  ","194.789   ",13,0,0,2,"Alexi Amarista grounds out softly, pitcher Clayton Kershaw to first baseman Adrian Gonzalez.  ",2015-10-04,2,top,193224,2015-10-04T19:32:24Z,454560,427248,"Dan Iassogna",0,0,,,,,,133.8600,180.5000,83,
