name,player_id,pitch_type,pitch_result,atbat_result,start_speed,z0,x0,pfx_x,pfx_z,px,pz,break_angle,break_length,spin_rate,spin_dir,zone,balls,strikes,outs,play,game_date,inning,inning_topbot,tfs,tfs_zulu,catcher,umpire,umpire_name,stolen_base_attempt,stolen_base_success,batted_ball_type,,angle,batted_ball_velocity,direction,hc_x,hc_y,pitch_id,distance_feet
"John Lackey                   ",407793,FF,"Foul (Runner Going)",Strikeout,"92.1      ",5.881,-2.646,"-2.938              ","6.116               ",-1.017,"3.183               ","11.4      ","4.8       ","1356.216  ","205.510   ",11,0,1,2,"Pedro Ciriaco strikes out swinging.  ",2015-10-04,1,bot,172530,2015-10-04T17:25:30Z,488810,484198,"Al Porter",0,0,,,,,,0.0000,0.0000,70,
"John Lackey                   ",407793,FF,Foul,Strikeout,"92.8      ",6.071,-2.033,"-3.757              ","6.916               ",0.530,"2.866               ","15.1      ","4.5       ","1586.321  ","208.376   ","3 ",0,0,2,"Pedro Ciriaco strikes out swinging.  ",2015-10-04,1,bot,172507,2015-10-04T17:25:07Z,488810,484198,"Al Porter",0,0,,,,,,0.0000,0.0000,69,
"John Lackey                   ",407793,FT,"In play, out(s)","Grounded Into DP","91.7      ",5.878,-2.128,"-11.046             ","3.928               ",-0.846,"2.872               ","35.3      ","7.1       ","2286.819  ","250.236   ",11,0,0,1,"Ryan Lavarnway grounds into a double play, second baseman Kolten Wong to shortstop Jhonny Peralta to first baseman Brandon Moss.   Andrelton Simmons out at 2nd.  ",2015-10-04,2,bot,174024,2015-10-04T17:40:24Z,488810,484198,"Al Porter",0,0,GB,,,,,139.0900,152.0800,121,
"John Lackey                   ",407793,FC,Ball,Groundout,"83.7      ",6.060,-1.940,"-0.451              ","1.059               ",2.306,"-0.818              ","-1.8      ","8.7       ","213.716   ","202.120   ",14,0,1,1,"Daniel Castro grounds out, second baseman Kolten Wong to first baseman Brandon Moss.  ",2015-10-04,3,bot,175115,2015-10-04T17:51:15Z,488810,484198,"Al Porter",0,0,,,,,,131.4800,161.2400,163,
"John Lackey                   ",407793,FF,Foul,Strikeout,"91.9      ",6.074,-2.568,"-5.033              ","7.194               ",-0.920,"2.181               ","21.1      ","4.9       ","1735.338  ","214.829   ",13,0,0,2,"Nick Markakis called out on strikes.  ",2015-10-04,3,bot,175243,2015-10-04T17:52:43Z,488810,484198,"Al Porter",0,0,,,,,,0.0000,0.0000,170,
"John Lackey                   ",407793,FC,Ball,Strikeout,"85.2      ",6.156,-2.154,"1.751               ","0.444               ",0.333,"1.279               ","-6.4      ","8.3       ","335.793   ","105.640   ",14,2,0,0,"Cameron Maybin strikes out on a foul tip.  ",2015-10-04,4,bot,180524,2015-10-04T18:05:24Z,488810,484198,"Al Porter",0,0,,,,,,0.0000,0.0000,225,
"John Lackey                   ",407793,FT,Ball,Strikeout,"92.0      ",5.733,-2.371,"-8.494              ","2.296               ",0.878,"1.957               ","24.8      ","7.0       ","1745.199  ","254.616   ",14,1,0,0,"Cameron Maybin strikes out on a foul tip.  ",2015-10-04,4,bot,180510,2015-10-04T18:05:10Z,488810,484198,"Al Porter",0,0,,,,,,0.0000,0.0000,224,
"John Lackey                   ",407793,CU,"Foul Tip",Strikeout,"79.8      ",6.382,-2.261,"4.682               ","-3.528              ",0.399,"2.257               ","-11.0     ","11.1      ","1003.124  ","53.414    ","6 ",0,1,1,"Pedro Ciriaco strikes out swinging.  ",2015-10-04,4,bot,180718,2015-10-04T18:07:18Z,488810,484198,"Al Porter",0,0,,,,,,0.0000,0.0000,234,
"John Lackey                   ",407793,FF,Foul,Strikeout,"93.2      ",5.917,-2.279,"-4.639              ","8.260               ",-0.698,"1.882               ","22.8      ","4.2       ","1912.988  ","209.204   ","7 ",1,2,2,"Nick Markakis called out on strikes.  ",2015-10-04,3,bot,175349,2015-10-04T17:53:49Z,488810,484198,"Al Porter",0,0,,,,,,0.0000,0.0000,173,
"John Lackey                   ",407793,FC,"Ball In Dirt",Groundout,"85.3      ",6.060,-1.774,"0.426               ","0.969               ",1.120,"0.582               ","-3.4      ","8.2       ","201.508   ","157.272   ",14,1,0,1,"Adonis Garcia grounds out, second baseman Kolten Wong to first baseman Brandon Moss.   Nick Markakis to 3rd.  ",2015-10-04,1,bot,172239,2015-10-04T17:22:39Z,488810,484198,"Al Porter",0,0,,,,,,145.6900,154.6300,54,
"John Lackey                   ",407793,FC,"Called Strike",Groundout,"83.1      ",6.177,-2.256,"1.998               ","0.307               ",0.261,"1.844               ","-6.8      ","8.7       ","366.452   ","100.103   ","9 ",0,0,1,"Daniel Castro grounds out, second baseman Kolten Wong to first baseman Brandon Moss.  ",2015-10-04,3,bot,175105,2015-10-04T17:51:05Z,488810,484198,"Al Porter",0,0,,,,,,131.4800,161.2400,162,
"John Lackey                   ",407793,FT,"Called Strike",Strikeout,"93.8      ",5.760,-2.111,"-9.616              ","-0.949              ",-0.189,"3.656               ","26.1      ","8.0       ","1950.449  ","275.405   ","2 ",1,2,2,"Nick Markakis called out on strikes.  ",2015-10-04,3,bot,175425,2015-10-04T17:54:25Z,488810,484198,"Al Porter",0,0,,,,,,0.0000,0.0000,174,
"John Lackey                   ",407793,FT,"In play, out(s)",Groundout,"93.9      ",5.701,-2.353,"-6.986              ","3.291               ",-1.135,"2.272               ","24.9      ","6.2       ","1577.107  ","244.516   ",13,1,2,0,"Daniel Castro grounds out softly, pitcher John Lackey to first baseman Brandon Moss.   Michael Bourn to 3rd.  ",2015-10-04,1,bot,172037,2015-10-04T17:20:37Z,488810,484198,"Al Porter",0,0,GB,,,,,116.2500,186.6700,38,
"John Lackey                   ",407793,FT,Foul,Strikeout,"92.6      ",5.828,-2.394,"-7.756              ","7.157               ",-0.637,"3.227               ","33.0      ","5.1       ","2098.937  ","227.139   ","1 ",3,2,0,"Cameron Maybin strikes out on a foul tip.  ",2015-10-04,4,bot,180608,2015-10-04T18:06:08Z,488810,484198,"Al Porter",0,0,,,,,,0.0000,0.0000,228,
"John Lackey                   ",407793,FT,Ball,Groundout,"93.8      ",5.633,-1.805,"-10.538             ","6.515               ",2.667,"1.381               ","37.4      ","5.8       ","2484.013  ","238.118   ",14,0,0,1,"Adonis Garcia grounds out, second baseman Kolten Wong to first baseman Brandon Moss.   Nick Markakis to 3rd.  ",2015-10-04,1,bot,172220,2015-10-04T17:22:20Z,488810,484198,"Al Porter",0,0,,,,,,145.6900,154.6300,50,
