Rk,Gcar,Gtm,Date,Tm,,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,RE24,DFS(DK),DFS(FD),Entered,Exited
1,212,1,Apr 6,LAD,,SDP,W6-3,GS-6,,99,6.0,6,3,3,2,9,0,1,4.50,26,99,68,17,19,6,8,5,0,0,55,,,1,0,0,23,4,0,0,0,0,0,1.04,-0.136,-0.32,17.70,12.00,1t start tie,6t 3 out  d1
2,213,5,Apr 11,LAD,@,ARI,L0-6,GS-7,L(0-1),4,6.1,10,6,5,3,5,1,0,5.84,30,99,64,20,10,13,9,6,2,0,33,,,0,2,1,27,0,0,0,1,0,0,.83,-0.195,-2.89,2.25,6.33,1b start tie,7b --- 1 out  d6
3,214,10,Apr 17,LAD,,COL,W7-3,GS-6,W(1-1),5,6.0,6,3,1,1,12,2,0,4.42,25,104,70,17,16,5,7,5,0,0,63,,,1,0,0,24,1,0,0,0,0,1,.99,-0.001,-0.32,32.30,18.00,1t start tie,6t 3 out  a3
4,215,14,Apr 22,LAD,@,SFG,L2-3,GS-6,,4,6.0,3,2,2,1,9,0,0,4.07,21,93,64,18,9,5,6,3,0,0,66,,,0,1,0,19,0,0,0,0,0,0,.77,-0.015,0.70,23.90,13.00,1b start tie,6b 3 out  d2
5,216,20,Apr 28,LAD,,SFG,L1-2,GS-7,L(1-2),5,7.0,7,2,2,0,8,1,0,3.73,27,92,66,15,15,12,7,3,1,0,63,,,1,0,0,27,1,0,0,1,0,0,.79,0.093,1.12,19.35,13.00,1t start tie,7t 3 out  d1
May,May,May,May,Tm,,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,RE24,DFS(DK),DFS(FD),Entered,Exited
6,217,25,May 4,LAD,@,MIL,L3-4,GS-8,,5,7.1,5,3,3,0,8,1,0,3.72,27,91,59,12,15,12,7,3,0,0,64,,,0,0,0,27,1,2,0,0,0,0,1.02,0.114,1.10,20.50,12.33,1b start a 1,8b -2- 1 out  a1
7,218,30,May 10,LAD,@,COL,W9-5,GS-6,,5,5.2,8,5,5,4,5,0,0,4.26,29,110,62,22,12,12,8,6,1,0,34,,,0,0,0,24,1,0,1,0,0,0,1.44,-0.291,-2.48,3.15,5.67,1b start tie,6b 123 2 out tie
8,219,35,May 15,LAD,,COL,W6-4,GS-7,W(2-2),4,6.2,4,3,3,3,10,0,0,4.24,27,110,69,18,12,8,6,5,0,0,61,,,1,0,0,24,0,0,0,0,0,0,.67,0.199,1.72,28.20,14.67,1t start tie,7t 12- 2 out  a5
